left_elbow,left_armpit,left_waist,left_knee,right_elbow,right_armpit,right_waist,right_knee,pose
179.25588,141.9942569,99.80349636,169.4623463,177.4194415,146.6215407,101.3268058,173.6137765,downdog
149.1821667,147.3810218,78.30607707,176.027145,168.7898201,153.2325024,76.12691963,179.6145665,downdog
158.1392391,153.4532794,74.80544905,172.9311858,161.9023082,141.4940652,84.0834604,176.2547444,downdog
139.1192511,151.1676485,81.66189007,178.0446748,152.5072517,160.516451,76.05458553,179.4623907,downdog
156.0319683,177.7358032,73.20015429,179.9994139,150.4346282,176.5778887,74.52867575,178.2126801,downdog
168.9814221,162.3812053,76.85839814,172.3127201,170.2878671,164.1632434,75.08684099,170.5911498,downdog
148.9884717,156.1095499,67.10289674,162.638731,160.9743705,132.8052653,77.93205599,125.5606026,downdog
156.09475,163.7346503,67.59679106,174.2534349,164.1158423,161.2145918,64.54370335,172.1698091,downdog
154.8378453,154.4679848,62.52644914,174.2877584,157.5866315,149.9016574,59.93751831,174.7292549,downdog
148.2303206,127.748935,86.11728445,177.0242713,146.531416,129.3878737,83.08319596,176.5914661,downdog
168.0250821,170.6709482,71.09808246,172.6211274,158.1107056,164.5677082,72.81431388,172.6407679,downdog
177.496787,170.4932384,73.77097086,173.5152579,164.4966027,179.7947904,73.24988114,169.3691504,downdog
176.9896788,174.0423186,55.91321472,173.6812945,162.9345905,167.8459285,60.89767953,173.5837497,downdog
161.3871095,162.908374,71.08296898,179.6648932,155.7041902,161.1212878,70.6144663,179.7850502,downdog
161.2203077,155.6885026,52.55275518,173.9855275,161.4743515,161.1112352,57.3289072,175.7371735,downdog
151.7625088,178.0288042,70.03713819,167.7986589,125.9688747,174.8599308,75.48826508,172.6170266,downdog
170.9452225,163.1957146,74.43699343,176.2549997,170.3527167,166.2228764,67.10916997,178.5614695,downdog
173.2267914,165.1149164,68.99530752,173.0119499,169.4573141,167.4926937,67.00811048,176.5375714,downdog
164.9315932,164.5607003,83.87562955,179.0237799,169.9018786,168.4139464,73.95293267,176.7293716,downdog
160.9068547,162.7110149,75.51235592,178.7035823,137.9866576,166.7319442,68.0990787,178.1668189,downdog
164.9981909,172.3121591,70.15970601,179.7262483,163.1313547,173.3965967,71.04427796,178.2568985,downdog
157.259859,137.2503008,98.15619602,179.0752182,155.4350412,129.3432883,99.52518014,174.3359063,downdog
169.6658116,178.2586089,84.21936153,178.1344354,166.7103836,177.8348109,84.13452317,179.5913845,downdog
176.5092338,159.3273717,86.22314798,172.8413542,172.2440881,156.0982948,80.34185144,173.7073139,downdog
170.9260501,167.1374946,64.88747226,177.3589728,168.7561012,169.7442318,66.70106493,179.6179194,downdog
159.2824834,153.0266768,85.45572978,178.3208524,156.0329851,151.1864258,88.59984344,175.6016105,downdog
165.7116112,2.754412686,17.34482154,6.058049258,30.68461209,121.3115714,20.51808005,74.8179373,downdog
160.7337968,178.377025,61.00340227,177.0340619,164.2403233,179.7930585,60.3291121,178.8556743,downdog
168.7510217,158.2046664,84.75738906,168.2605234,163.3751125,167.388753,81.75012683,166.3037697,downdog
165.1005746,168.1063777,71.91037873,171.0655445,172.9172576,179.1707065,68.62063116,173.3558937,downdog
119.8449149,164.8938006,74.63371779,174.8834434,121.146781,157.786201,78.51056977,174.58068,downdog
126.9955577,172.2173687,5.009983476,63.64703474,23.48940648,175.0244266,9.609210904,70.83164088,downdog
172.7286724,164.015295,63.89358292,177.141118,176.7307947,146.3433556,62.74481214,166.5347662,downdog
170.9658405,160.4466316,79.61939689,171.9992773,165.6143079,165.3392426,81.42872702,176.9282744,downdog
161.9383949,175.8868925,74.39721452,173.5271604,156.9483234,170.8867615,75.41002165,174.7429709,downdog
175.1169403,168.6894565,73.02849891,173.4046951,165.8472042,165.7069411,72.76749503,171.2422999,downdog
176.3726047,170.0724307,59.21913515,174.0377161,173.3560129,178.4787801,62.39994627,173.6698702,downdog
173.3851835,153.5668111,75.85547675,179.0520382,169.9333618,152.6238525,75.72437861,179.9575551,downdog
166.7809508,4.675022949,94.19488266,176.7964067,143.2747778,162.4150246,102.1449841,179.9131369,downdog
176.599879,175.9500364,70.70389116,179.3307973,179.697946,175.4155033,72.49210657,178.9750631,downdog
171.1019091,166.8578909,57.1332573,174.7016937,165.000301,175.0378251,59.10373676,176.1721527,downdog
162.8621699,144.327327,82.22246266,172.7949507,163.2075786,137.8207591,87.38414504,171.2303015,downdog
155.1081475,176.0963438,72.87727327,176.8909398,155.3699226,175.5970563,70.32114148,179.6303658,downdog
175.7533721,174.4663811,86.76192692,171.6362204,179.4248499,171.2927794,86.18756934,173.1245486,downdog
160.7750348,179.5049863,62.82223689,171.9045852,159.0518076,176.258778,65.88570707,174.7066412,downdog
47.29392289,137.3780838,16.04948701,162.5309318,147.304981,177.7557008,85.5417662,158.6031763,downdog
156.5472428,146.4726218,75.74083102,173.4846129,160.6234023,149.4751744,76.57338731,177.8493586,downdog
144.2735589,154.4149347,14.06614392,155.4341306,149.284252,132.4827911,67.22402236,169.8282538,downdog
166.6092123,167.4946686,71.18325805,176.9602599,167.9160487,167.8576434,75.07934776,177.3612544,downdog
174.0550537,177.9326926,72.35173705,173.9756976,177.7294244,178.6641225,74.74482724,177.1660054,downdog
157.3605386,171.0034845,95.27178197,174.0107817,159.4233009,171.080594,100.1433268,166.9875801,downdog
160.2947989,171.643919,73.30330205,171.6644856,161.3211995,168.9803808,72.07584958,172.1560819,downdog
172.156196,163.5413558,64.11697489,162.7165329,169.2937017,153.2137813,74.70132318,165.4000626,downdog
158.3029436,170.724263,57.13618242,173.3176485,164.4038556,176.7993109,53.13923341,171.1478515,downdog
170.7958638,179.7120227,55.9684689,150.5374146,158.6205485,167.7481023,66.70292351,173.6250141,downdog
164.1467287,167.2304952,72.27674785,177.9672263,158.6846647,172.0990888,73.37746574,178.3492461,downdog
159.0039495,174.6728962,69.4738739,176.6353234,160.0104997,154.1055574,79.91202005,178.3585908,downdog
170.6133714,150.6454776,78.99046281,179.7715831,178.0668285,138.2153003,72.63313672,179.5173072,downdog
178.6975969,170.479323,51.42563341,133.923203,171.7490222,169.4450042,64.31450279,151.2203767,downdog
168.3124906,176.2384393,83.56548321,168.1359783,156.4520742,169.2805639,89.48936431,164.4640727,downdog
175.0789502,166.3795675,44.53036659,163.257586,172.2902985,147.2997321,40.92580201,166.0225788,downdog
176.4777632,163.2287439,53.84983168,156.4150796,176.3492492,160.1353155,55.97396798,164.5029474,downdog
99.25711791,106.7722646,53.10747652,157.4149068,127.6580288,123.0673505,50.73507154,145.5510009,downdog
173.3294287,172.4400738,79.20731879,173.2656338,173.3044832,171.718094,81.683898,167.4451645,downdog
174.1018365,170.7595998,87.89223352,176.2163516,105.7354794,138.2429992,79.63383022,178.5844961,downdog
178.2250595,179.8752651,74.98905665,176.5516697,175.694964,167.0046717,68.21030922,173.350605,downdog
109.891205,18.4215714,29.87382912,23.77051845,12.00938175,6.081971553,56.03230925,37.55239617,downdog
167.1716576,164.2663991,69.15381871,173.1121554,172.9363882,152.1274145,66.64614195,173.9333935,downdog
166.6203459,165.8029867,60.6767129,174.4024738,165.4736317,163.8080358,63.74611256,177.9073215,downdog
167.7480504,158.836542,50.58122286,123.6543372,176.8615511,165.8615148,50.50364647,124.0642195,downdog
171.7135686,167.2603195,85.2280566,175.1153696,168.0231717,174.4323566,86.13068211,176.3645912,downdog
166.2594532,179.4581002,64.44262002,174.2496522,158.0385553,167.452261,68.17655299,171.1492057,downdog
160.7937945,155.7986999,83.38643404,176.7908587,161.6151341,153.9956804,84.21927314,172.0374316,downdog
160.3286859,174.8066705,69.56049889,177.4281487,158.9138146,155.4589864,79.31820414,179.5914667,downdog
155.2752363,149.1149775,87.67927308,170.3370312,155.7069619,151.1671552,89.08070607,172.4329734,downdog
179.7340924,161.4931454,67.45979802,168.338735,170.917503,151.3502785,70.58403428,167.9728667,downdog
168.8901214,167.8559639,81.1668842,174.897816,162.3475814,164.3193459,81.83912176,172.9509799,downdog
164.6107713,178.2637237,60.25192948,174.7872432,160.4598658,178.2339947,63.36900293,164.9152304,downdog
162.3076244,172.4026712,64.88222077,162.3818494,176.1877163,171.5401365,51.05387214,159.0351366,downdog
160.0961287,172.403121,76.5628068,178.474681,169.7259775,177.8045951,76.62638913,175.8758869,downdog
135.8516596,68.0454465,35.77002439,26.49743272,160.7465109,72.35994619,36.22772581,50.68384899,downdog
118.1995745,170.8205232,14.75904846,170.6176439,137.8689172,9.281495783,163.7920432,173.0678231,downdog
166.806493,179.7993926,75.53009741,176.9038985,166.3593594,175.4084445,77.09524127,177.224506,downdog
164.3177562,153.7386071,70.14095354,176.1935119,155.9170981,149.1497574,66.72216668,171.4014502,downdog
171.7663277,165.8522162,94.6663859,169.4192724,170.1550718,162.443516,96.73448868,168.5622489,downdog
16.46343342,63.20400256,72.62355689,60.56627799,15.38344765,129.0388157,117.6398768,113.8748472,downdog
163.3978285,171.0485082,53.40139321,172.0924479,158.6137169,174.0412161,47.13693577,167.0203193,downdog
166.6542921,169.8382675,62.52545108,159.675643,152.8270054,168.133253,65.77647753,165.6218262,downdog
163.3837246,170.4643607,56.46154401,135.2699934,160.0880515,167.8862823,60.65759543,142.3138149,downdog
176.0829638,167.9823497,68.74662021,178.7208769,165.556389,168.9328632,67.65146798,178.46745,downdog
165.7516288,168.3533543,87.87293941,171.1257373,169.6539817,169.2222085,83.37225443,177.2679271,downdog
163.5176478,153.6901671,70.45874818,176.414864,155.8560106,149.9265207,66.67278083,171.2400403,downdog
155.3623836,153.4610507,74.56514761,174.9585921,162.5969855,159.7473172,69.60307025,178.8239329,downdog
117.6796971,30.21365196,61.15165725,159.0501595,146.0514744,151.8287739,67.87498029,80.74534052,downdog
164.017848,175.6965878,79.35786985,179.6541394,167.09788,172.4083989,82.8078135,177.8493773,downdog
154.6744418,144.2382541,98.49173168,160.7345089,179.6989868,162.204123,102.8026196,156.7720114,downdog
158.409157,169.8599282,69.98057487,175.7450027,161.6764421,166.8609719,69.25936976,175.5349088,downdog
168.3555323,178.1609695,78.40224443,178.0069879,160.2303469,165.2428272,83.87111515,178.5406519,downdog
146.7958472,160.4285528,42.72775252,137.0876727,149.1401405,159.4294266,39.65548772,131.8150467,downdog
